order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1,116,2021-01-01,1965,Have Buy,47.25,3
2,126,2021-01-01,1607,Ten Scientist,420.66,3
3,177,2021-01-01,1341,Laugh Each,393.53,9
4,258,2021-01-01,1673,Give Radio,122.51,7
5,289,2021-01-01,1629,Soon Season,225.86,4
6,221,2021-01-01,1267,Media Everyone,235.12,2
7,256,2021-01-01,1237,Century Become,266.24,8
8,16,2021-01-01,1200,Various Pressure,454.57,2
9,219,2021-01-01,1068,Four Benefit,490.78,9
10,180,2021-01-02,1786,Detail Statement,406.42,1
11,87,2021-01-02,1389,Allow Miss,281.0,5
12,65,2021-01-02,1200,Mr Call,356.57,9
13,229,2021-01-02,1300,Step Shoulder,340.34,5
14,177,2021-01-02,1301,Now Leave,64.14,9
15,38,2021-01-02,1976,Little Analysis,243.35,6
16,243,2021-01-02,1068,Mrs Style,438.37,1
17,224,2021-01-02,1543,Character Likely,301.39,4
18,125,2021-01-02,1123,Member Become,321.58,1
19,43,2021-01-02,1064,Land Area,136.48,4
20,70,2021-01-02,1146,Collection Investment,261.32,9
21,185,2021-01-03,1582,Author Plant,431.76,1
22,154,2021-01-03,1346,Record Radio,187.67,5
23,4,2021-01-03,1461,Safe Game,478.11,3
24,110,2021-01-03,1475,Around Think,73.4,1
25,186,2021-01-03,1341,Smile Speech,249.38,1
26,108,2021-01-03,1673,At And,233.57,9
27,105,2021-01-03,1673,Buy Future,216.82,5
28,35,2021-01-03,1231,During Stay,99.45,4
29,266,2021-01-04,1559,Trial Anyone,75.2,4
30,127,2021-01-04,1675,Manage More,362.08,1
31,269,2021-01-04,1496,Affect Special,189.05,1
32,295,2021-01-04,1654,House Week,269.23,1
33,112,2021-01-04,1606,Skill Position,357.06,2
34,283,2021-01-04,1475,Around Think,73.4,7
35,257,2021-01-04,1337,Official Teach,335.08,7
36,16,2021-01-04,1736,Know Election,196.58,7
37,265,2021-01-04,1113,Message Body,17.71,4
38,142,2021-01-04,1521,Line Magazine,181.71,3
39,243,2021-01-04,1047,Room Nor,129.05,6
40,17,2021-01-04,1685,Grow Consider,16.8,9
41,174,2021-01-04,1267,Media Everyone,235.12,5
42,52,2021-01-04,1909,Decide Its,61.9,8
43,136,2021-01-04,1388,Professional Why,235.01,1
